Blue,Green,Red,RE1,RE2,RE3,NIR,NIR2,SWIR1,SWIR2,NDVI,BSI,SAVI,MSAVI2,EVI2,NDRE,NDWI,BI,SI1,SI2,NDSI,ClayIndex,AlOH,IronIndex,FerrousIndex,SWIR_ratio,RedEdge_ratio,CarbonateIndex,RI,CI_green,elevation,slope,aspect,hillshade,curvature,plan_curvature,profile_curvature,TWI,label_pH,label_EC,label_OC,label_N,label_P,label_K,label_Fe,label_Cu,label_B,label_Zn,lat,lon
0.118322216,0.13947779,0.15833335,0.16382776,0.23343332,0.26394445,0.2547111,0.28155553,0.26222777,0.20671111,0.23366578,0.06687597,0.15675585,0.13865653,0.14563788,0.023281066,-0.28602582,0.19146354,0.1483066,0.022928588,0.12792575,1.2957673,1.2957673,1.1503773,1.3548839,0.95849967,87.497284,1.2957673,1.0533859,0.808669,17.31358,2.1251566,169.02995,179.51958,-2.0606701,4.645899,0.7996865,4.0555673,7.0,0.4,0.6875125,140.0,27.500550000000004,55.0,2.25,0.8,0.25,0.6999599999999999,16.4276957,80.8359915
0.10548363,0.1192124,0.13005708,0.1423646,0.18431063,0.20379159,0.19861417,0.21995221,0.22573407,0.18568762,0.2093651,0.08263103,0.12296417,0.10539243,0.112516575,0.048183627,-0.252456,0.15359095,0.12455859,0.067522585,0.09690671,1.2164572,1.2164572,1.0980695,1.243181,0.88121897,111.434044,1.2164572,1.1103079,0.6808887,18.651451,2.3855228,180.1851,181.12952,0.5516631,3.999245,0.89915067,0.5629232,7.0,0.4,0.625,140.0,21.12,55.0,2.25,0.8,1.2,0.972,16.438705,80.7647019
0.12959376,0.14799532,0.16271406,0.173025,0.23154923,0.25337344,0.25519842,0.27122343,0.25968283,0.20302656,0.22378522,0.047934234,0.1518685,0.13507459,0.14125727,0.033375666,-0.2653979,0.19471663,0.15485609,0.01240681,0.12675944,1.2928364,1.2928364,1.1452467,1.2531352,0.98525316,71.67598,1.2928364,1.0778396,0.730204,16.740154,1.7148864,160.75948,180.52849,-0.39029533,4.2510448,0.67737144,0.899805,7.0,0.4,0.3821125,140.0,19.18758124187581,55.0,2.25,0.7920200000000002,0.363625,0.8863199999999999,16.431988400000005,80.7950679
0.10843204,0.12859273,0.1465563,0.16519223,0.20668496,0.22736214,0.22846213,0.24506311,0.2668039,0.2140864,0.22231363,0.104584165,0.14161657,0.12387481,0.13080026,0.06500672,-0.2840015,0.17375661,0.13720083,0.07936933,0.10981834,1.248288,1.248288,1.1259172,1.3764607,0.863149,112.05062,1.248288,1.1488441,0.80298835,16.424816,1.3696301,141.58257,180.29652,0.35576585,4.4848003,0.5537641,1.5080628,7.0,0.62412,0.5861874999999999,140.0,17.6385,55.0,2.25,0.8,0.25,0.69312,16.4193574,80.8290767
0.09310696,0.11155126,0.1298019,0.14967342,0.17863101,0.19784304,0.19340697,0.21076646,0.23203355,0.18425444,0.18936126,0.11376032,0.10944473,0.094436966,0.10031182,0.08673707,-0.24648352,0.14958806,0.11971925,0.093188845,0.12774356,1.304786,1.304786,1.171419,1.3909861,0.8616219,170.2421,1.304786,1.206102,0.7082674,17.342888,2.3865917,130.47836,177.83333,0.54954004,4.234888,0.9423999,0.5325508,7.0,0.4,0.5750125,140.0,17.050549999999998,55.0,2.25,0.8,0.5416249999999999,0.5600400000000001,16.403614400000002,80.7294261
0.12304419,0.14323421,0.16228904,0.18633129,0.23408902,0.2541029,0.25227743,0.27243063,0.29227197,0.23247229,0.21663673,0.095940724,0.14615847,0.12985738,0.13575204,0.070494585,-0.27492228,0.19199948,0.15247205,0.07319773,0.11351791,1.2576264,1.2576264,1.1333404,1.334365,0.86876065,83.99687,1.2576264,1.1591507,0.7655619,19.39349,1.4096739,164.46715,180.50955,-0.1776362,4.420562,0.6007706,2.4577367,7.0,0.4,0.4375,140.0,19.8,55.0,2.25,0.625,0.25,0.6,16.485022799999992,80.7980865
0.10153214,0.1317857,0.1572,0.16001071,0.22377144,0.2499607,0.24725713,0.268075,0.2504607,0.18913214,0.22488204,0.07501739,0.15054415,0.13351473,0.1398932,0.015505679,-0.31040817,0.18541694,0.14360793,0.0049066213,0.13689208,1.3204062,1.3204062,1.1649158,1.6033717,1.001832,123.57759,1.3204062,1.0389946,0.90857077,16.507988,3.0057209,119.29717,175.65283,-1.4188854,4.1254745,1.1473594,2.8024256,7.0,0.4,0.5078125,140.0,18.5625,55.0,2.25,0.8,1.5,0.675,16.471769100000003,80.8262658
0.12915857,0.14915714,0.16527143,0.16874,0.22225714,0.24343714,0.2506657,0.25997144,0.2511014,0.19186856,0.21452013,0.050282322,0.1426629,0.12628207,0.13225041,0.017263463,-0.26302353,0.1936617,0.15715234,0.0041861422,0.13381034,1.3112403,1.3112403,1.1568248,1.2983366,1.0057039,86.72378,1.3112403,1.0500934,0.7253847,18.26999,2.049966,131.34067,178.94797,-0.040339746,4.1404166,0.7861131,2.2454083,7.0,0.4,0.5136625,140.0,21.398850000000003,55.0,2.25,0.8,0.3672382761723828,0.675,16.40992,80.8069753
0.11619811,0.1306057,0.1408886,0.15867026,0.20441772,0.2237728,0.21988355,0.24514365,0.26194113,0.2120709,0.21993174,0.09283871,0.13680984,0.118955374,0.12601085,0.060510643,-0.25579193,0.16857304,0.13555452,0.0895567,0.10443731,1.2350029,1.2350029,1.1178272,1.2293234,0.8428057,90.233284,1.2350029,1.1378173,0.6940192,19.054844,1.3142081,133.35272,179.45192,0.036324795,4.523539,0.5455049,1.5574298,7.0,0.4,0.3289375,140.0,24.31605,55.0,2.25,0.7815900000000002,0.34862499999999996,0.45792,16.406496199999996,80.7744872
0.11352619,0.1363024,0.16085,0.17726906,0.22520594,0.24784048,0.2497262,0.26404405,0.27285835,0.20949286,0.21834138,0.088439286,0.14603388,0.12929203,0.13545305,0.048702568,-0.2944747,0.18891725,0.14821756,0.04379858,0.12676342,1.2922517,1.2922517,1.1544778,1.437351,0.9209978,101.26998,1.2922517,1.1069819,0.8429819,16.698051,2.590789,139.16951,179.40475,0.050144296,3.9151611,1.0047698,0.05398168,7.0,0.4,0.4572082208220821,140.0,23.5928,55.0,2.25,0.8,0.611875,1.08948,16.484559799999992,80.8150166
